abstract_index,para_index,text
95,32,"Transplanting organs and other anatomic material from the donor to the recipient is carried out according to the procedure established by the law, at their consent or the consent of their legal representatives, provided that the use of other means and methods for life support, or health restoration or improvement does not yield desired results, and the harm caused to the donor is less than the threat to the recipient. Donation of organs and other anatomic material can be done by an adult legally capable person. A natural person can issue written consent to donate their organs and other anatomic material after their death, or to forbid such donation. Collecting organs and other anatomic material from the body of a deceased natural person is not allowed, except for cases and according to the procedure established by the law (Article 47 of the Foundations)."
95,33,"According to Article 50 of the Fundamentals, a surgery for artificial termination of pregnancy (abortion) can be performed at the discretion of the woman, in accredited health care institutions, while the gestation age does not exceed twelve weeks. In cases established by the legislation, artificial termination of pregnancy can be performed while the gestation age is between twelve and twenty two weeks."
95,34,"At the patient's request, according to the medico-biological and socio-psychological indications established by the Ministry of Health Care of Ukraine, their sex identity can be changed (corrected) by means of medical intervention, in accredited health care institutions. The person who had undergone change of sex identity is issued a medical certificate, on the basis of which subsequent issues of making appropriate changes to their legal status are resolved (Article 51 of the Fundamentals)."
95,35,Provision of medical and prosthetic supplies is regulated by Chapter VI of the Fundamentals.
95,36,Chapter VII of the Fundamentals is dedicated to mother and child health care. Motherhood in Ukraine is protected and encouraged by the state (Article 57 of the Fundamentals). Mother and child health care is provided for through:
95,37,"organizing a wide network of prenatal, genetic and other consultation points, maternity clinics, health and vacation resorts for pregnant women and mothers, day care centers, kindergartens and other institutions for children;
providing women with maternity leave, payment of social insurance benefits, and establishing work breaks for infant feeding;
payment of childbearing benefits and child nursing benefits according to the established procedure;
forbidding employment of women in arduous and harmful industries, transferring pregnant women to light work while preserving their average compensation; improving their work and everyday life conditions and making the conditions more healthy;
eliminating negative environmental factors; state and community support of the family, and other measures according to the procedure established by the legislation of Ukraine."
95,38,"Parents are obligated to take care of their children's health, physical and spiritual development, and ensure their healthy lifestyle. In case the failure to observe this obligation causes significant harm to the child's health, the persons responsible may be deprived of parental rights according to the established procedure (Article 59 of the Fundamentals)."
95,39,"According to Article 61 of the Fundamentals, the state supplies children under three years of age with quality baby formulas and other infant food manufactured mainly on an industrial level, using environmentally safe raw materials. Controlling the adherence to sanitary, hygienic and other normative requirements to infant food products is the responsibility of bodies of state sanitary supervision."
95,40,Medical and sanitary provision of health resort and recreational activity is envisaged by Chapter VIII of the Fundamentals.
95,41,Chapter IX of the Fundamentals determines the principles for:
95,42,"medico-social expert analysis of loss of labor capacity;
military medical expert analysis;
forensic medical and forensic psychiatric expert analysis;
post-mortem examinations;
alternative medical expert analysis."
95,43,Specifics of medical and pharmaceutical activity are established by Chapter X of the Fundamentals. Medical and pharmaceutical activity can only be carried out by persons who have received appropriate specialized education and satisfy the unified qualification requirements. The unified qualification requirements to persons who perform certain types of medical and pharmaceutical activity are established by the Ministry of Health Care of Ukraine (Article 74 of the Fundamentals).
95,44,Requirements to healing are established by Article 74-1 of the Fundamentals.
95,45,"According to Article 77 of the Fundamentals, medical and pharmaceutical employees have the right to:"
95,46,"carry out medical and pharmaceutical activity according to their specialization and qualification;
appropriate conditions for their professional activity;
advanced training and retraining, at least once in five years, in appropriate institutions and organizations;
free choice of the tested forms, methods and means of activity, and implementing the current achievements of the medical and pharmaceutical theory and practice, according to the established procedure;
use social, environmental and specialized medical information required by them to perform their professional duty, free of charge;
mandatory insurance, at the expense of the owner of the health care institution, against damages caused to their life and health in connection with the execution of their professional duty, in cases provided for by the legislation;
social benefits on behalf of the state, in case of disease, injury, or other cases of loss of labor capacity in connection with the execution of their professional duty;
establishing official salaries (wage rates) in state health care institutions based on the Unified Rate Schedule according to the procedure established by the Cabinet of Ministers of Ukraine;
shorter working day and additional paid leave in cases provided for by the legislation;
privileged terms for pension benefits;
privileges in terms of providing accommodation and phone line;
free use of residence with electricity and heating for those living and working in rural areas and urban villages, as well as retired medical and pharmaceutical employees who live in such areas, benefits on payment of land tax, loan conditions, family farms, constructions of private residences and purchase of motor vehicles. Free use of residence with electricity and heating is provided to: 1) current employees on the condition that the total monetary equivalent of the benefits, together with the average total monthly income of the employee over the past six months does not exceed the amount of income entitling the employee to social tax benefits, according to the procedure established by the Cabinet of Ministers of Ukraine; 2) retired employees on the condition that the monthly average family income per person over the past six months does not exceed the amount of income entitling the retired employee to social tax benefits, according to the procedure established by the Cabinet of Ministers of Ukraine;
priority provision of treatment and prophylactic aid, and of medical and prosthetic supplies;
create scientific medical associations, professional unions and other community organizations;
judicial protection of the professional honor and dignity;
free granting of ownership of a land plot within the land share of the member of an agricultural enterprise, agricultural institution or organization located on the territory of the appropriate council, from the land fund of an agricultural enterprise, agricultural institution or organization being privatized, or reserve fund lands, but not exceeding the norms of free granting of land plots to citizens as established by the legislation for private farming purposes;
physicians of hospitals of medical districts, head physicians, physicians of outpatient clinics in rural areas, district internal medicine physicians, district pediatricians, district nurses of territorial sections of polyclinics (polyclinical divisions) and district nurses of outpatient clinics, general practitioners (family physicals) and general practice nurses (family medicine nurses), heads of internal medicine and pediatrics departments of polyclinics, heads of outpatient clinics and family medicine departments, physicians (senior physicians) and paramedical personnel of mobile ambulance and emergency medical teams, personnel of ambulance aviation, and personnel of planned and emergency consultation departments – for continuous employment in the above positions in the above institutions (territorial sections) over a term of three years are entitled to additional paid leave of three calendar days annually. The rights of other categories of medical employees to additional paid leave, within the established norms, are preserved."
95,47,Chapter XI of the Fundamentals is dedicated to international cooperation in the sphere of health care.
59,0,"The Law of Ukraine “On Motor Vehicle Transport” (hereinafter referred to as “the Law”) defines the principles of organization and operation of motor vehicle transport. Motor vehicle transport of common use as a sub-branch of transport industry shall meet the requirements of population and public production in motor vehicle transportations. It includes carriers, bus stations, bus terminals, entities responsible for repair and technical service of motor vehicles, cargo terminals, cargo motor vehicle stations and container points. The carriers' motor vehicles that are used by them for rendering of services on carriage of passengers and cargoes refer to motor vehicle transport of common use. Motor vehicles of subjects of entrepreneurial activity, institutions and organizations that are used by them only for own needs refer to departmental motor vehicle transport. Motor vehicles of natural persons that are used by them only for own needs refer to individual motor vehicle transport."
59,1,Basic functions of state regulation of activity of motor vehicle transport are:
59,2,- forming market of services and control over implementation of the legislation;
59,3,- normative and legal regulation on the motor vehicle transport issues;
59,4,"- licensing of carriers' activity, standardization and certification;"
59,5,- organization of and control over motor vehicle transportations;
59,6,"- tariff, innovation and investment policy, etc."
59,7,"The Verkhovna Rada of Ukraine defines basic directions of state policy in the field of motor vehicle transport and legislative principles of its implementation. General state regulation of activity of motor vehicle transport is performed by the Cabinet of Ministers of Ukraine according to its authorities. The central body of executive power in the field of transport ensures conducting state policy on motor vehicle transport through its territorial bodies, international motor vehicle transportation service and governmental body of state administration on motor vehicle transport."
59,8,The state standardization system on motor vehicle transport aims at:
59,9,- carrying out uniform technical policy;
59,10,"- mutual substitution and combinability of goods, works, services, their unification;"
59,11,"- economy of all kinds of resources, improvement of technical and economic indices of activity;"
59,12,"- ensuring of the state's defense capacity and mobilization readiness, etc."
59,13,"Rendering of services on carriage of passengers and cargos by motor vehicle transport of common use shall be subject to licensing according to law. Licensing of motor vehicle transport of common use aims at determination of initial and current conditions of rendering carriage services, as well as the most significant characteristics of servicing of the consumers."
59,14,"Tariff policy on motor vehicle transport of common use shall satisfy entrepreneurial interest, development of motor vehicle transport, stimulate introduction of the newest technologies and use of modern designs of motor vehicles."
59,15,"The state control on motor vehicle transport is performed by the central body of executive power in the field of transport, its territorial bodies, including international motor vehicle transportation services and the governmental body of state administration on motor vehicle transport, as well as other bodies of state power and bodies of local self-government according to law. In case of reveal of violations of the legislation on motor vehicle transport territorial bodies of the central body of executive power in the field of transport are entitled to order removal of violation, to apply financial sanctions according to this law, etc. not later than 10 working days starting from the day of reveal of this violation."
59,16,Development of motor vehicle transport of common use is ensured by support of the bodies of state power by means of creation of conditions for:
59,17,- rendering of its socially important services;
59,18,- acquisition of motor vehicles and equipment for their technical servicing;
59,19,- stimulation of development of market of its services.
59,20,"To the personnel of motor vehicle transport of common use refer the employees who directly render services of motor vehicle transport of common use. Labor relations of the personnel of motor vehicle transport of common use are regulated by the labor legislation, including provisions on discipline and rules of internal labor schedule."
59,21,"Motor vehicles are divided by their use into passenger, cargo, cargo and passenger motor vehicles, trailers. Motor vehicles shall meet the following requirements:"
59,22,"- not to threaten safety of the persons, who use them, or other participants of traffic;"
59,23,- not to damage roads and devices on them;
59,24,"- not to cause radioelectric obstacles over the set level, etc."
59,25,"The infrastructure of motor vehicle communication roads includes: motor vehicle roads, bus terminals, bus stations, bus stops of common use, grounds for turn and stay of buses at departure and arrival route points, taxi stops, cargo terminals, cargo motor vehicle stations, container points and road service objects. To the objects of road service designed to render services to carriers, drivers and passengers refer: stops, washings, filling stations, motels, camping, shops, places of public catering, communication and medical aid."
59,26,"Services of motor vehicle transport of common use are divided into bus, taxi and cargo and passenger transportations of passengers and cargos. Privileged carriages of the persons who according to the legislation enjoy such rights are performed by the passenger carriers of all ownership forms and subordination. It shall be prohibited for a passenger carrier to refuse privileged transportation, except for the cases envisaged by law. Groundless refusal of privileged transportation results in responsibility according to law."
59,27,The documents to carriage of passengers on bus routes of common use are:
59,28,"- for a passenger carrier - license, agreement with the customer to carriage of passengers, route passport, document that certifies legal use of bus;"
59,29,"- for a bus driver - driving license, vehicle registration documents, road list, ticket registration form, route scheme, route timetable, table of fare and customer's permit to carriage;"
59,30,- for a passenger - ticket for bus trip and carriage of luggage.
59,31,"Articles 39 - 43 of the Law define basic rights and duties of a bus or a taxi driver during carriage of passengers, the principles of activity of passenger carrier, relations of passenger carrier with bodies of executive power and bodies of local self-government, with owners of bus terminals and bus stations, requirements to a passenger carrier."
59,32,"Articles 44 - 47 of the Law are devoted to the procedure for holding tender for carriage of passengers on bus routes of common use, requirements to passenger carriers which are allowed to participate in tender and determination of the winner of such tender."
59,33,"Section 11 of the Law covers the issues on organization of tourist transportations and carriage of passengers for order, sets general principles of carriage of passengers by taxi and sets requirements to such carriage."
59,34,"Section 12 of the Law defines the peculiarities of the agreement on carriage of passenger by motor vehicle transport, basic rights and duties of a passenger and a passenger carrier."
59,35,"Chapter three of the Law sets general provisions regarding internal transportation of cargos by motor vehicle transport, the principles of activity of cargo carrier and requirements to it, the peculiarities of the agreement on transportation of cargo by motor vehicle transport of common use and rights and duties of parties to such agreement."
59,36,"Chapter four of the Law is devoted to the organization of international carriage of passengers and cargos by motor vehicle transport, international cooperation in the field of international carriage of passengers and cargos by motor vehicle transport, control over conducting international carriage of passengers and cargos by motor vehicle transport."
59,37,"Chapter five of the Law contains norms which refer to responsibility of carrier and subjects of entrepreneurial activity for violation of the legislation on motor vehicle transport, the procedure for consideration of cases on violation of the legislation on motor vehicle transport."
92,0,"The Law of Ukraine “On Traffic” (hereinafter the Law) determines legal and social grounds of traffic with the purpose of protection of citizens' life and health, creation of safe and comfort conditions for participants of traffic and environmental protection. It regulates public relations in the sphere of traffic and its safety, determines rights, duties and responsibilities of subjects - participants of traffic, ministries, other central bodies of state executive power, associations, enterprises, establishments and organizations regardless of ownership form and economic activity."
92,1,"Chapter two of the Law is devoted to issues on competence of the Cabinet of Ministers of Ukraine, bodies of legislative and executive power of the Republic Crimea, regions and cities of republican subordination, city and district Council of people's deputies and city and district executive power, village and settlement Council of people's deputies and their executive bodies, bodies of territorial public self-government, owners of roads, streets and crossings, owners of transport vehicles in the sphere of traffic. The Law also envisages participation of ministries, other central bodies of state executive power and associations, enterprises, establishments, organizations, citizens in ensuring traffic safety as well as duties of officials in this sphere."
92,2,"Participants of traffic shall be the persons who use roads, streets, crossings or other places designed for movement of people and transportation of cargos by means of transport vehicles. To participants of traffic shall refer drivers and passengers of transport vehicles, passers-by, cyclists, teamsters. Participants of traffic shall have the right to:"
92,3,"- safe conditions of traffic, reimbursement of expenses caused due to inconsistency between  condition of roads, streets, crossings and requirements of traffic safety;"
92,4,- study traffic norms and rules;
92,5,"- receive information about traffic conditions from hydrometeorological, road, communal and other organizations as well as bodies of State Autoinspection of the Ministry of Internal Affairs of Ukraine, military inspection on traffic safety of Military Law-Enforcement Service in the Armed Forces of Ukraine."
92,6,Participants of traffic shall:
92,7,"- know and adhere to requirements of this Law, traffic Rules and other normative acts on traffic safety issues;"
92,8,"- create safe traffic conditions, not harm enterprises, establishments, organizations and citizens with their actions or inactivity;"
92,9,- perform resolutions of state supervision and control bodies as regards to adherence to the legislation on traffic.
92,10,Each citizen who reached age inscribed in this Law and does not have medical contra-indications may acquire the right to drive respective transport vehicle (become a driver) in a set procedure. Participants of traffic shall have the right to drive:
92,11,"motor vehicles and motor carriages - from sixteen years old;
automobiles of all types and categories (except buses and motor vehicles for the transport of goods equipped for the transport of eight or more passengers), trams and trolley-busses - from eighteen years old;
buses and motor vehicles for the transport of goods equipped for the transport of eight or more passengers - from nineteen years old."
92,12,A citizen who wishes to acquire the right to drive transport vehicle shall go through training in volume envisaged by the training program for drivers of transport vehicles of respective category or type. The right to drive transport vehicles shall be certified by respective driving license. State and international driving licenses that comply with the Convention on Traffic shall be valid on the territory of Ukraine. The procedure of such licenses issue shall be set by the Cabinet of Ministers of Ukraine.
92,13,"A driver may be deprived of the right to drive transport vehicle due to worsening of health condition, if it prevents safe driving, as well as for non-fulfillment of set duties in cases stipulated by the legislation. Deprivation of driver of the right to drive transport vehicle due to worsening of health condition shall be conducted on the basis of conclusions of respective medical establishments."
92,14,"Deprivation of driver of the right to drive transport vehicle due to non-fulfillment of duties set by legislation shall be conducted on the basis of materials of case on administrative violation of traffic rules, resolution of refusal to bring in criminal case or materials of criminal case. Deprivation of right to drive transport vehicle shall be conducted until full removal of reasons that prevent driver from safe driving of transport vehicle and in case s/he does not fulfill set duties - for the term determined by the current legislation."
92,15,A driver shall have the right to:
92,16,"- drive transport vehicle and transport passengers or cargos on roads, streets and in other places where traffic is not prohibited in set procedure;"
92,17,- know the reason of stopping transport vehicle by official of state body which controls traffic as well as surname and post of this official;
92,18,"- receive necessary aid from officials, organizations which participate in ensuring traffic safety, other."
92,19,A driver shall:
92,20,- bring transport vehicle to state maintenance inspection timely;
92,21,- give privileged right to passage to transport vehicles with switched on blue or red flash-lights and special sound signals;
92,22,"- pay state tax on owners of transport vehicles in amounts set by the legislation, other."
92,23,"The Law also sets basic rules and duties of passers-by, passengers, cyclists and teamsters, issues related to teaching Traffic Rules to different population groups."
92,24,"Chapter four of the Law is devoted to roads, streets, their division and rules of their use, basic requirements as regards to projecting, building, reconstruction and repair of roads, streets and crossings, activity of owners of roads, streets and crossings; questions of equipment of roads, streets and crossings with service objects, limitation or prohibition of traffic during repair works on automobile roads, streets and crossings."
92,25,"Chapter five of the Law is devoted to issues related to transport vehicles, in particular:"
92,26,- permit to transport vehicles to participate in traffic;
92,27,- requirements regarding production of transport vehicles;
92,28,- requirements regarding import of transport vehicles on the territory of Ukraine;
92,29,- requirements regarding re-equipment of transport vehicles;
92,30,- requirements regarding technical condition of operated transport vehicles;
92,31,- registration and record of transport vehicles;
92,32,- State maintenance inspection of transport vehicles;
92,33,- requirements regarding technical service and repair of transport vehicles;
92,34,- grounds to prohibit operation of transport vehicles.
92,35,"Chapter six of the Law determines tasks of traffic standardization and regulation, norms and standards of traffic. Chapter seven is devoted to planning and financing of measures as regards to ensuring of traffic safety. Chapter eight of the Law determines medical provision of traffic and chapter nine - environmental protection. Chapters ten and eleven cover issues on control and responsibility for violation of legislation on traffic."
66,0,"The Law of Ukraine “On Architectural Activity” defines legal and organizational principles of architectural activity. It is aimed at forming of favorable living environment, achievement of aesthetic expressiveness, economic expediency and reliability of houses, constructions and their complexes."
66,1,"It is established that a complex of works shall be performed in order to create the architectural object. In particular, it includes:"
66,2,"search of architectural decision, working out and coordination of the project;"
66,3,"building (new building, reconstruction, restoration, capital repair) of the architectural object;"
66,4,architectural building control and author's supervision during conducting of works related to building;
66,5,putting of erected object in operation.
66,6,The specially authorized bodies on city planning and architecture are:
66,7,"the State Committee on Building, Architecture and Housing of Ukraine;"
66,8,the authorized body on city planning and architecture of the Council of Ministers of Autonomous Republic of Crimea;
66,9,"the city planning and architecture administrations of oblast, Kyiv and Sevastopol city, departments of district state administrations;"
66,10,"executive bodies of village, settlement, city councils."
66,11,The Law determines that entrepreneurial activity related to creation of architectural objects shall be subject to licensing. But the citizens who have certificate of architect may conduct some types of entrepreneurial activity related to creation of objects of architecture without the respective license.
